year,pwrDstrt2
1990,190.0496060710222
1991,182.17082644400173
1992,185.2743480814858
1993,193.84390634292467
1994,188.46514904574138
1995,184.96364124399085
1996,188.69295961739726
1997,188.2646092402199
1998,187.9843472285551
1999,184.23747673633736
2000,181.78218879916764
2001,188.00227244136482
2002,175.31698921091927
2003,201.27221728976676
2004,190.57259076115923
2005,194.0457484433131
2006,167.22044178916997
2007,187.5383288237143
2008,186.89722206434672
2009,188.06042913418
2010,168.99881353352373
2011,184.8180581464789
2012,162.85637294821132
2013,176.82186805670037
2014,190.882285752855
2015,188.04148869559805
2016,165.82748029726878
2017,186.48074884394606
2018,180.9841
2019,192.2151
