zone,year,zoneStrtDay,fit,region
A,2008,188.05999074141891,93,SA511
A,2009,190.30002435271663,93,SA511
A,2010,169.028381684808,67,SA511
A,2011,184.09357806362752,92,SA511
A,2012,167.15027533637166,63,SA511
A,2013,184.01981458652924,92,SA511
A,2014,190.1216085511033,93,SA511
A,2015,190.81290839395083,93,SA511
A,2016,166.73954903278525,64,SA511
B,2008,190.97997670916706,95,SA512
B,2009,193.93793696432826,95,SA512
B,2010,181.42284309443383,92,SA512
B,2011,187.1609609743902,92,SA512
B,2012,169.09364289441262,65,SA512
B,2013,184.94717929131062,92,SA512
B,2014,194.7335410499813,95,SA512
B,2015,193.3643709390225,94,SA512
B,2016,172.17859391840236,70,SA512
C,2008,187.84099775329298,93,SA512
C,2009,189.59857982551398,93,SA512
C,2010,169.59124950171426,67,SA512
C,2011,185.90093887223583,92,SA512
C,2012,165.0891363564828,63,SA512
C,2013,180.74112776075208,87,SA512
C,2014,189.11325468844626,92,SA512
C,2015,187.59958072789323,92,SA512
C,2016,165.9421177118951,64,SA512
D,2008,188.94332076350128,93,SA513
D,2009,189.88794844679362,93,SA513
D,2010,169.74580726843726,66,SA513
D,2011,186.6730206945285,92,SA513
D,2012,162.4243451498887,62,SA513
D,2013,171.42838076479407,68,SA513
D,2014,193.4858806938781,95,SA513
D,2015,188.81073313519113,92,SA513
D,2016,164.7560163501424,63,SA513
E,2008,183.1172456250591,92,SA513
E,2009,181.4632992467064,92,SA513
E,2010,165.34440887943623,64,SA513
E,2011,171.32306340428076,68,SA513
E,2012,138.3254543302562,32,SA513
E,2013,162.54508254253057,63,SA513
E,2014,187.4048965392215,93,SA513
E,2015,179.37430324306018,83,SA513
E,2016,159.09802844111448,62,SA513
F,2008,171.05280455062166,65,SA513
F,2009,172.31383885290023,68,SA513
F,2010,163.87289224445482,62,SA513
F,2011,170.6159894466707,66,SA513
F,2012,150.97589632838626,57,SA513
F,2013,164.23440027604877,63,SA513
F,2014,188.4176383914325,92,SA513
F,2015,181.0047533150394,87,SA513
F,2016,161.6752067618301,62,SA513
G,2008,192.19471510887013,96,SA513
G,2009,188.07785315105198,94,SA513
G,2010,189.15902833424977,94,SA513
G,2011,185.92121993279125,92,SA513
G,2012,138.17941490740728,32,SA513
G,2013,176.93058351740214,83,SA513
G,2014,212.8744622442752,123,SA513
G,2015,186.4842221465645,92,SA513
G,2016,163.54359794921146,64,SA513
